Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions
3975 Broadway,10032,3975,BROADWAY,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),231342.0,1924,1,100,,,,,,,40.840427,-73.940249,0.0,0.0,0.0
710 West 168th Street,10032,193,FT WASHINGTON AVENUE,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),179694.0,1932,1,100,,,,,,,40.841559,-73.942528,0.0,0.0,0.0
720-730 Ft. Washington Ave.,10040,730,FT WASHINGTON AVENUE,Multifamily Housing,Multifamily Housing,116744.0,1939,1,100,77.1,82.7,2.6,0.0,,,40.858256,-73.934734,689.0,588.6,100.4
830 Park Avenue,10021,830,PARK AVENUE,Multifamily Housing,Multifamily Housing,130629.0,1911,1,100,23.7,23.4,6.8,,,,40.773465,-73.962116,286.8,0.0,286.8
840 Park Avenue,10021,840,PARK AVENUE,Multifamily Housing,Multifamily Housing,54913.0,1911,1,100,17.9,17.4,4.8,0.0,231.9,4.22,40.773843,-73.961838,88.8,3.2,85.7
420 W 116th St,10027,,,Office,Office,50000.0,1906,1,100,,,,,,,,,0.0,0.0,0.0
508 West 114th Street,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,48608.0,1898,1,100,16.0,16.0,4.5,0.0,,,,,71.1,1.5,69.6
566 West 114th Street,10027,2910,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,72109.0,1898,1,100,30.4,30.4,8.6,0.0,,,40.806444,-73.96503,200.0,4.5,195.5
2900 Broadway,10027,2900,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,140056.0,1924,1,100,34.2,34.2,10.0,,,,40.806172,-73.965229,444.3,0.0,444.3
2920 Broadway,10027,,,Office,Office,258119.0,1999,1,100,,,,,,,,,0.0,0.0,0.0
1124 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,79951.0,1924,1,100,,,,,,,,,0.0,0.0,0.0
1130 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,87639.0,1907,1,100,,,,,,,,,0.0,0.0,0.0
1116 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,78464.0,1924,1,100,,,,,,,,,0.0,0.0,0.0
2940 Broadway,10027,,,Office,Office,77271.0,1925,1,100,,,,,,,,,0.0,0.0,0.0
2950 Broadway,10027,,,Office,Office,103681.0,1925,1,100,,,,,,,,,0.0,0.0,0.0
2960 Broadway,10027,,,Office,Office,101704.0,1924,1,100,,,,,,,,,0.0,0.0,0.0
400 W 117th St,10027,1145,AMSTERDAM AVENUE,Office,Office,36752.0,1950,1,100,,,,,,,40.80709,-73.960847,0.0,0.0,0.0
410 W 117th St,10027,1145,AMSTERDAM AVENUE,Office,Office,6287.0,1950,1,100,,,,,,,40.80709,-73.960847,0.0,0.0,0.0
1172 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,95954.0,1977,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
3010 Broadway,10027,530,WEST 120 STREET,Office,Office,77917.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
2990 Broadway,10027,530,WEST 120 STREET,Office,Office,60373.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1180 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,62004.0,1987,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
2970 Broadway,10027,530,WEST 120 STREET,Office,Office,59847.0,1924,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1150 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,64447.0,1911,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
538 West 120th Street,10027,530,WEST 120 STREET,Office,Office,147145.0,1927,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
