Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions,log_GHG_Emissions,age,age_group,Occupancy_group
3975 Broadway,10032,3975,BROADWAY,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),231342.0,1924,1,100,,,,,,,40.840427,-73.940249,0.0,0.0,0.0,0.0,100,>50,76-100%
161 Fort Washington Ave,10032,161,FT WASHINGTON AVENUE,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1305748.0,1971,1,100,,,,,,,40.840746,-73.942854,0.0,0.0,0.0,0.0,53,>50,76-100%
710 West 168th Street,10032,193,FT WASHINGTON AVENUE,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),179694.0,1932,1,100,,,,,,,40.841559,-73.942528,0.0,0.0,0.0,0.0,92,>50,76-100%
523 East 70th St,10021,512,EAST 71 STREET,Mixed Use Property,Other,245000.0,1932,1,60,,,,,,,40.765949,-73.953752,0.0,0.0,0.0,0.0,92,>50,51-75%
271-10 Grand Central Parkway,11005,269,GRAND CENTRAL PKWY,Multifamily Housing,Other,2738875.0,1974,1,100,,,,,,,40.757859,-73.715543,0.0,0.0,0.0,0.0,50,41-50,76-100%
270-10 Grand Central Parkway,11005,269,GRAND CENTRAL PKWY,Multifamily Housing,Other,2738875.0,1974,1,100,,,,,,,40.757859,-73.715543,0.0,0.0,0.0,0.0,50,41-50,76-100%
269-10 Grand Central Parkway,11005,269,GRAND CENTRAL PKWY,Multifamily Housing,Other,2738875.0,1974,1,100,,,,,,,40.757859,-73.715543,0.0,0.0,0.0,0.0,50,41-50,76-100%
475 SEAVIEW AVE,10305,475,SEAVIEW AVENUE,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),567517.0,1950,1,100,,,,,,,40.583953,-74.08693,0.0,0.0,0.0,0.0,74,>50,76-100%
475 Seaview Av,10305,242,MASON AVENUE,Medical Office,Medical Office,58893.0,1950,1,100,,,,,,,40.586868,-74.086592,0.0,0.0,0.0,0.0,74,>50,76-100%
720-730 Ft. Washington Ave.,10040,730,FT WASHINGTON AVENUE,Multifamily Housing,Multifamily Housing,116744.0,1939,1,100,77.1,82.7,2.6,0.0,,,40.858256,-73.934734,689.0,588.6,100.4,6.536691597591305,85,>50,76-100%
830-840 Park Avenue,10021,,,Multifamily Housing,Multifamily Housing,189766.0,1911,2,100,68.0,,6.1,0.5,,,,,847.5,475.0,372.5,6.743470084674281,113,,76-100%
830 Park Avenue,10021,830,PARK AVENUE,Multifamily Housing,Multifamily Housing,130629.0,1911,1,100,23.7,23.4,6.8,,,,40.773465,-73.962116,286.8,0.0,286.8,5.662265794453267,113,,76-100%
840 Park Avenue,10021,840,PARK AVENUE,Multifamily Housing,Multifamily Housing,54913.0,1911,1,100,17.9,17.4,4.8,0.0,231.9,4.22,40.773843,-73.961838,88.8,3.2,85.7,4.497584975308154,113,,76-100%
4-6 Washington Place,10003,4,WASHINGTON PLACE,College/University,College/University,199058.1,1971,2,100,26.9,26.9,7.9,0.0,1009.9,5.07,40.729201,-73.994155,497.1,0.0,497.1,6.210800860079238,53,>50,76-100%
713 Broadway,10003,713,BROADWAY,College/University,College/University,61582.0,1971,0,100,,,,,,,40.728924,-73.993834,0.0,0.0,0.0,0.0,53,>50,76-100%
730 EAST 163RD STREET,10456,725,EAST 161 STREET,Multifamily Housing,Multifamily Housing,855844.0,1962,6,100,,,,,,,40.821523,-73.90549,,,,,62,>50,76-100%
420-440 East 102 St.,10029,455,EAST 102 STREET,Multifamily Housing,Multifamily Housing,175885.0,1973,2,100,56.2,58.8,10.7,0.2,237.9,1.35,40.786238,-73.939958,765.3,203.2,562.0,6.641573737976358,51,>50,76-100%
86-02 208 St,11427,206-09,86 ROAD,Multifamily Housing,Multifamily Housing,152308.0,1952,4,100,49.5,50.7,7.4,0.3,,,,,555.1,193.1,362.0,6.320948134193518,72,>50,76-100%
206-10 86 Road,11427,86-50,FRANCIS LEWIS BLVD,Multifamily Housing,Multifamily Housing,228570.0,1952,6,100,25.5,25.1,4.9,0.1,,,,,464.0,102.0,362.0,6.142037405587356,72,>50,76-100%
209-30 86 Drive,11427,210-10,GRND CNTRL PKWY SR E,Multifamily Housing,Multifamily Housing,152380.0,1952,4,100,65.3,66.8,12.4,0.2,,,,,787.9,181.8,606.1,6.670639570101044,72,>50,76-100%
209-31 86 Drive,11427,1986-09-01 00:00:00,GRAND CENTRL PARKWAY,Multifamily Housing,Multifamily Housing,304760.0,1952,8,100,43.7,43.4,5.7,0.2,,,,,948.1,386.1,562.1,6.855514167136446,72,>50,76-100%
420 W 116th St,10027,,,Office,Office,50000.0,1906,1,100,,,,,,,,,0.0,0.0,0.0,0.0,118,,76-100%
508 West 114th Street,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,48608.0,1898,1,100,16.0,16.0,4.5,0.0,,,,,71.1,1.5,69.6,4.278054044290903,126,,76-100%
566 West 114th Street,10027,2910,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,72109.0,1898,1,100,30.4,30.4,8.6,0.0,,,40.806444,-73.96503,200.0,4.5,195.5,5.303304908059076,126,,76-100%
2900 Broadway,10027,2900,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,140056.0,1924,1,100,34.2,34.2,10.0,,,,40.806172,-73.965229,444.3,0.0,444.3,6.098748212327656,100,>50,76-100%
2920 Broadway,10027,,,Office,Office,258119.0,1999,1,100,,,,,,,,,0.0,0.0,0.0,0.0,25,21-30,76-100%
535 West 114th Street,10027,,,Office,Office,441108.0,1934,1,100,,,,,,,,,0.0,0.0,0.0,0.0,90,>50,76-100%
1124 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,79951.0,1924,1,100,,,,,,,,,0.0,0.0,0.0,0.0,100,>50,76-100%
1130 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,87639.0,1907,1,100,,,,,,,,,0.0,0.0,0.0,0.0,117,,76-100%
1116 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,78464.0,1924,1,100,,,,,,,,,0.0,0.0,0.0,0.0,100,>50,76-100%
2940 Broadway,10027,,,Office,Office,77271.0,1925,1,100,,,,,,,,,0.0,0.0,0.0,0.0,99,>50,76-100%
2950 Broadway,10027,,,Office,Office,103681.0,1925,1,100,,,,,,,,,0.0,0.0,0.0,0.0,99,>50,76-100%
2960 Broadway,10027,,,Office,Office,101704.0,1924,1,100,,,,,,,,,0.0,0.0,0.0,0.0,100,>50,76-100%
400 W 117th St,10027,1145,AMSTERDAM AVENUE,Office,Office,36752.0,1950,1,100,,,,,,,40.80709,-73.960847,0.0,0.0,0.0,0.0,74,>50,76-100%
410 W 117th St,10027,1145,AMSTERDAM AVENUE,Office,Office,6287.0,1950,1,100,,,,,,,40.80709,-73.960847,0.0,0.0,0.0,0.0,74,>50,76-100%
1172 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,95954.0,1977,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,47,41-50,76-100%
3010 Broadway,10027,530,WEST 120 STREET,Office,Office,77917.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
2990 Broadway,10027,530,WEST 120 STREET,Office,Office,60373.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,127,,76-100%
1180 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,62004.0,1987,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,37,31-40,76-100%
2970 Broadway,10027,530,WEST 120 STREET,Office,Office,59847.0,1924,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,100,>50,76-100%
1150 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,64447.0,1911,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,113,,76-100%
538 West 120th Street,10027,530,WEST 120 STREET,Office,Office,147145.0,1927,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,97,>50,76-100%
3030 Broadway,10027,530,WEST 120 STREET,Office,Office,148666.0,1974,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,50,41-50,76-100%
535 West 116th Street,10027,530,WEST 120 STREET,Office,Office,149779.0,1987,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,37,31-40,76-100%
3000 Broadway,10027,530,WEST 120 STREET,Office,Office,126670.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,127,,76-100%
3022 Broadway,10027,530,WEST 120 STREET,Office,Office,199107.0,1964,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,60,>50,76-100%
445-8 Riverside Drive,10027,445,RIVERSIDE DRIVE,Residence Hall/Dormitory,Residence Hall/Dormitory,57903.0,1932,1,100,11.4,11.4,0.0,0.1,,,40.80912,-73.965599,34.9,34.9,0.0,3.580737295494233,92,>50,76-100%
1200 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,90679.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,127,,76-100%
1190 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,133021.0,1930,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,94,>50,76-100%
3024 Broadway,10027,530,WEST 120 STREET,Office,Office,166959.0,1964,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,60,>50,76-100%
1160 Amsterdam Ave,10027,530,WEST 120 STREET,Worship Facility,Worship Facility,20035.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
1210 Amsterdam Ave,10027,530,WEST 120 STREET,Office,Office,163689.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
3002 Broadway,10027,530,WEST 120 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,34637.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
515 W 116th St,10027,530,WEST 120 STREET,Office,Office,11712.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
1212 Amsterdam Ave,10027,530,WEST 120 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,131923.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
1214 Amsterdam Ave,10027,530,WEST 120 STREET,Office,Office,27713.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
2980 Broadway,10027,530,WEST 120 STREET,Office,Office,21482.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
3020 Broadway,10027,530,WEST 120 STREET,Office,Office,17651.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
550 W 120th St,10027,530,WEST 120 STREET,College/University,College/University,207750.0,2010,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,14,11-20,76-100%
